time joint_0 joint_1 joint_2 joint_3 joint_4 joint_5 joint_6 joint_7 joint_8 joint_9 joint_10 joint_11 joint_12 joint_13 joint_14 joint_15 joint_16 joint_17 joint_18 joint_19
0.366667 0.222275 -0.025545 0.473234 -0.256280 0.229827 0.266229 -0.151551 0.473945 -0.406776 0.026325 0.164533 -0.057207 -0.198605 2.367824 -0.006469 0.196991 0.131586 -0.398026 2.131494 0.171404
0.400000 0.220912 -0.016974 0.518484 -0.334168 0.256502 0.271849 -0.161007 0.483592 -0.427325 0.030312 0.165652 -0.051221 -0.197626 2.365536 -0.000006 0.190652 0.128816 -0.402643 2.131371 0.176349
0.433333 0.218102 -0.007543 0.555193 -0.401298 0.277168 0.270579 -0.168554 0.485554 -0.440594 0.040526 0.162723 -0.053200 -0.195476 2.366014 0.018120 0.186155 0.122901 -0.406229 2.131761 0.173880
0.466667 0.214441 -0.001208 0.611952 -0.497203 0.303494 0.266898 -0.175520 0.514138 -0.494319 0.066254 0.162468 -0.047448 -0.198820 2.362571 0.043378 0.186606 0.121255 -0.412894 2.134432 0.176545
0.500000 0.209335 0.009306 0.653839 -0.573858 0.316381 0.258653 -0.180364 0.528410 -0.534136 0.096175 0.156048 -0.044701 -0.195630 2.353394 0.028345 0.184467 0.117521 -0.417040 2.134300 0.169979
0.533333 0.201524 0.018183 0.669377 -0.614380 0.325169 0.262018 -0.185705 0.516887 -0.535169 0.113508 0.149140 -0.045032 -0.197800 2.352250 0.035845 0.186484 0.117525 -0.421516 2.132377 0.168372
0.566667 0.198739 0.027975 0.701355 -0.679474 0.340151 0.255695 -0.187931 0.525145 -0.569392 0.141545 0.145427 -0.050168 -0.205458 2.350210 0.029802 0.187089 0.113566 -0.422889 2.133167 0.156989
0.600000 0.202520 0.039906 0.715247 -0.710452 0.333256 0.259491 -0.193690 0.510223 -0.564989 0.136747 0.135318 -0.048020 -0.213336 2.344593 0.047148 0.183061 0.107545 -0.413604 2.130874 0.151648
0.633333 0.197890 0.052688 0.719581 -0.728233 0.339167 0.258636 -0.198766 0.500688 -0.564030 0.137621 0.133530 -0.049779 -0.218280 2.345456 0.059734 0.181944 0.101455 -0.413830 2.128983 0.145897
0.666667 0.200343 0.057684 0.725160 -0.743059 0.340798 0.256840 -0.202484 0.498970 -0.573455 0.144863 0.129712 -0.036765 -0.210583 2.333980 0.018021 0.175125 0.096626 -0.412377 2.126287 0.147043
0.700000 0.202790 0.057357 0.723282 -0.750239 0.343739 0.258097 -0.203082 0.499081 -0.585821 0.150482 0.121880 -0.041523 -0.211737 2.336095 0.035090 0.163027 0.092301 -0.406926 2.126422 0.144323
0.733333 0.199115 0.060319 0.718326 -0.752278 0.353249 0.257767 -0.204885 0.496766 -0.589730 0.152329 0.123089 -0.036277 -0.210220 2.334320 0.015117 0.151489 0.091312 -0.411505 2.127918 0.150633
0.766667 0.190121 0.066030 0.694782 -0.726798 0.354547 0.262627 -0.207738 0.471792 -0.556032 0.136641 0.120863 -0.035208 -0.210366 2.337990 0.026028 0.138188 0.091819 -0.410792 2.128187 0.157718
0.800000 0.189640 0.067110 0.682741 -0.712627 0.353964 0.265985 -0.209026 0.459476 -0.541755 0.131963 0.119997 -0.039688 -0.208633 2.344013 0.028725 0.124669 0.097642 -0.412411 2.133454 0.166056
0.833333 0.181426 0.072723 0.667171 -0.696948 0.361361 0.274557 -0.212064 0.443206 -0.524169 0.127138 0.120719 -0.047483 -0.208353 2.351654 0.021514 0.113203 0.105746 -0.413584 2.138847 0.172508
0.866667 0.179712 0.078126 0.662615 -0.691613 0.356305 0.280468 -0.214045 0.435040 -0.517228 0.119166 0.122741 -0.058592 -0.223426 2.354730 0.027869 0.101396 0.109774 -0.428761 2.138980 0.166239
0.900000 0.177632 0.073655 0.673649 -0.700007 0.349561 0.283188 -0.210748 0.456460 -0.544560 0.125587 0.124465 -0.061770 -0.208966 2.347179 0.018867 0.097279 0.118225 -0.421582 2.138156 0.156806
0.933333 0.176180 0.078250 0.679116 -0.716127 0.353412 0.289797 -0.210950 0.457392 -0.557688 0.129375 0.132199 -0.103327 -0.223256 2.350539 -0.022915 0.092564 0.112667 -0.412776 2.136819 0.133477
0.966667 0.174935 0.078961 0.676157 -0.704664 0.343568 0.289769 -0.212765 0.451540 -0.543784 0.123980 0.120220 -0.049450 -0.216883 2.343116 0.043978 0.102661 0.125687 -0.412540 2.125659 0.160508
1.000000 0.184057 0.074337 0.692135 -0.719860 0.341368 0.287662 -0.212552 0.474484 -0.577617 0.135283 0.118080 -0.047155 -0.208294 2.345050 0.039257 0.111900 0.119284 -0.406432 2.132551 0.152719
1.033333 0.183116 0.075313 0.683725 -0.703238 0.334652 0.291305 -0.214469 0.462130 -0.555275 0.125432 0.114760 -0.045257 -0.208785 2.347351 0.042180 0.120301 0.112442 -0.401038 2.136755 0.150994
1.066667 0.178075 0.075672 0.695487 -0.719240 0.343243 0.292539 -0.216300 0.480000 -0.581526 0.136410 0.115787 -0.046881 -0.208666 2.348406 0.050189 0.130788 0.107954 -0.397205 2.140379 0.143539
1.100000 0.176563 0.079439 0.685632 -0.704143 0.339252 0.292457 -0.218290 0.464733 -0.557601 0.125529 0.113405 -0.045872 -0.208267 2.347377 0.046734 0.137238 0.096144 -0.392703 2.146932 0.143632
1.133333 0.174511 0.080012 0.699398 -0.725825 0.347775 0.293862 -0.219289 0.482778 -0.589366 0.139002 0.114193 -0.050002 -0.204416 2.349866 0.062082 0.142046 0.089765 -0.387776 2.153404 0.144014
1.166667 0.168921 0.084783 0.703861 -0.734575 0.356195 0.295802 -0.222025 0.486019 -0.594389 0.138244 0.116673 -0.051369 -0.201908 2.348709 0.051844 0.145608 0.083207 -0.384673 2.155607 0.135321
1.200000 0.163764 0.092157 0.689638 -0.719147 0.355482 0.297067 -0.225136 0.463503 -0.562386 0.125885 0.116279 -0.050318 -0.204545 2.352587 0.065423 0.147518 0.078480 -0.390033 2.157107 0.139441
1.233333 0.158570 0.093112 0.703950 -0.741904 0.368049 0.299367 -0.226610 0.482684 -0.592626 0.136546 0.120347 -0.049598 -0.207608 2.350992 0.060872 0.150097 0.079389 -0.395861 2.158431 0.143679
1.266667 0.155958 0.098233 0.695602 -0.735305 0.368799 0.299340 -0.229213 0.466598 -0.573276 0.131088 0.118093 -0.052187 -0.206087 2.350905 0.059147 0.148351 0.078258 -0.397718 2.157445 0.143537
1.300000 0.151570 0.100078 0.707256 -0.762855 0.380904 0.302115 -0.229749 0.479617 -0.604402 0.145172 0.114710 -0.059836 -0.203849 2.348518 0.046986 0.140579 0.080868 -0.401423 2.157190 0.140796
1.333333 0.155814 0.103266 0.715212 -0.779816 0.390629 0.302284 -0.232424 0.483920 -0.620475 0.151267 0.119041 -0.077737 -0.206918 2.349270 0.019027 0.133558 0.077851 -0.404137 2.162004 0.127523
1.366667 0.151481 0.106604 0.722414 -0.799307 0.401872 0.305753 -0.234152 0.489495 -0.638269 0.159908 0.119119 -0.092512 -0.201844 2.347299 -0.007124 0.123611 0.080136 -0.399487 2.164406 0.119698
1.400000 0.148932 0.111384 0.711294 -0.788337 0.401242 0.305207 -0.235954 0.473769 -0.616628 0.150368 0.113589 -0.083681 -0.201345 2.352379 0.024090 0.122681 0.085312 -0.406814 2.165557 0.130030
1.433333 0.144858 0.113722 0.705781 -0.788390 0.404389 0.307332 -0.236529 0.467735 -0.613644 0.150401 0.108388 -0.068865 -0.197659 2.346673 0.025837 0.115379 0.089231 -0.404168 2.158044 0.137144
1.466667 0.142874 0.116967 0.704212 -0.793174 0.407933 0.307050 -0.237106 0.465341 -0.615273 0.149839 0.103963 -0.055600 -0.195255 2.346675 0.043590 0.113950 0.093504 -0.405389 2.159167 0.147390
1.500000 0.140454 0.122279 0.703283 -0.803053 0.414903 0.307757 -0.237766 0.461194 -0.615796 0.152208 0.101176 -0.052694 -0.199104 2.347482 0.058325 0.111112 0.096234 -0.410815 2.154864 0.146396
1.533333 0.143125 0.121609 0.699876 -0.801374 0.414707 0.310877 -0.238779 0.456780 -0.615572 0.150923 0.098236 -0.053119 -0.197234 2.349178 0.063478 0.111283 0.094608 -0.408924 2.159085 0.150162
1.566667 0.142085 0.126800 0.697083 -0.808308 0.421212 0.307381 -0.238806 0.451094 -0.613986 0.153419 0.095281 -0.052497 -0.195914 2.350913 0.069689 0.110141 0.094215 -0.404520 2.159050 0.146028
1.600000 0.147222 0.126239 0.696917 -0.808320 0.420855 0.308128 -0.239057 0.447625 -0.612981 0.153721 0.096732 -0.049500 -0.199546 2.352079 0.073256 0.112524 0.093708 -0.405462 2.159747 0.149585
1.633333 0.154699 0.125771 0.692550 -0.803231 0.420053 0.306971 -0.239399 0.438532 -0.608090 0.153421 0.096936 -0.051120 -0.199771 2.351700 0.066915 0.111247 0.095578 -0.409317 2.156471 0.143554
1.666667 0.157125 0.107261 0.751478 -0.871745 0.438913 0.303747 -0.233193 0.529982 -0.727808 0.193421 0.113505 -0.065926 -0.195075 2.354084 0.064199 0.127284 0.105434 -0.410636 2.155967 0.142857
1.700000 0.159173 0.121816 0.704340 -0.819934 0.426303 0.303963 -0.238096 0.457825 -0.636050 0.162897 0.103212 -0.055944 -0.201528 2.354235 0.078040 0.119373 0.095888 -0.408368 2.155377 0.149446
1.733333 0.160047 0.125111 0.690992 -0.805853 0.426803 0.304660 -0.238750 0.439775 -0.612530 0.154017 0.099293 -0.055765 -0.200833 2.354815 0.065044 0.120464 0.093717 -0.409639 2.155498 0.140611
1.766667 0.160216 0.124686 0.688380 -0.801567 0.428962 0.304812 -0.238965 0.437343 -0.607180 0.154206 0.099104 -0.053375 -0.202148 2.360509 0.092058 0.122314 0.094309 -0.408781 2.156782 0.146044
1.800000 0.162329 0.122001 0.703170 -0.825068 0.435552 0.303983 -0.237400 0.458790 -0.641224 0.165213 0.102419 -0.057207 -0.204807 2.358556 0.088127 0.121997 0.099251 -0.413188 2.153947 0.141061
1.833333 0.162270 0.125574 0.694130 -0.816019 0.435149 0.305107 -0.238110 0.443796 -0.621906 0.157438 0.106045 -0.077986 -0.202957 2.355016 0.031274 0.115015 0.093791 -0.406011 2.160670 0.124587
1.866667 0.162910 0.121278 0.706916 -0.834846 0.443578 0.305877 -0.236601 0.464933 -0.654958 0.171715 0.104858 -0.068229 -0.203399 2.354732 0.049395 0.117116 0.097828 -0.403426 2.164504 0.134509
1.900000 0.163181 0.123691 0.696472 -0.820609 0.439593 0.304083 -0.237017 0.448240 -0.629150 0.161120 0.103044 -0.061476 -0.204382 2.355602 0.059381 0.114931 0.099174 -0.402953 2.163833 0.137932
1.933333 0.160945 0.122834 0.688159 -0.813445 0.438945 0.304683 -0.235997 0.441041 -0.622466 0.161486 0.087132 -0.054887 -0.176602 2.351449 0.078983 0.112847 0.107230 -0.387047 2.150112 0.146739
1.966667 0.159066 0.123551 0.686605 -0.813012 0.439655 0.304215 -0.236071 0.439881 -0.621316 0.161689 0.085950 -0.049921 -0.173147 2.352371 0.093157 0.113028 0.109981 -0.387924 2.152861 0.155971
2.000000 0.157191 0.125192 0.683807 -0.811468 0.439857 0.305712 -0.236661 0.436474 -0.618104 0.160868 0.085063 -0.044492 -0.170808 2.354556 0.108197 0.112087 0.110704 -0.387243 2.153333 0.156573
2.033333 0.155774 0.125779 0.681060 -0.810029 0.438474 0.304240 -0.236389 0.432570 -0.612459 0.159139 0.083922 -0.042894 -0.168608 2.356783 0.111957 0.112159 0.110036 -0.389696 2.152477 0.159300
2.066667 0.155831 0.127034 0.676378 -0.804815 0.440234 0.305458 -0.237511 0.425017 -0.603232 0.157820 0.082982 -0.043543 -0.165702 2.359372 0.108450 0.112021 0.106608 -0.391435 2.154275 0.160196
2.100000 0.156738 0.108118 0.733237 -0.869332 0.455452 0.300739 -0.230391 0.513365 -0.717767 0.198780 0.096514 -0.056143 -0.157274 2.361494 0.111124 0.123323 0.114946 -0.390358 2.154042 0.159680
2.133333 0.154401 0.121704 0.686233 -0.817977 0.442928 0.305693 -0.234002 0.443150 -0.627410 0.165671 0.085386 -0.051587 -0.157814 2.359187 0.108308 0.113974 0.106818 -0.391151 2.149434 0.156266
2.166667 0.154263 0.127891 0.682880 -0.814522 0.443354 0.309475 -0.237392 0.429163 -0.609722 0.156787 0.095524 -0.058575 -0.197674 2.361597 0.068876 0.113035 0.092868 -0.407349 2.162446 0.139898
2.200000 0.153987 0.130178 0.682438 -0.817465 0.442620 0.311360 -0.237935 0.424238 -0.606696 0.155951 0.098408 -0.062263 -0.201485 2.361884 0.076594 0.114741 0.096407 -0.410650 2.160745 0.135806
2.233333 0.154271 0.110614 0.741349 -0.884584 0.457748 0.308233 -0.230420 0.514830 -0.725450 0.198996 0.111157 -0.068044 -0.195258 2.363765 0.096095 0.128607 0.108825 -0.408678 2.159836 0.139270
2.266667 0.153934 0.129140 0.691177 -0.836475 0.446072 0.310022 -0.235296 0.436164 -0.633203 0.167873 0.096763 -0.059828 -0.199189 2.352792 0.065057 0.116536 0.103336 -0.412329 2.152575 0.130432
2.300000 0.148209 0.130725 0.682513 -0.823116 0.439124 0.316487 -0.235332 0.423241 -0.613198 0.160709 0.096853 -0.057144 -0.199157 2.358052 0.078105 0.116207 0.095600 -0.401526 2.165851 0.139746
2.333333 0.147385 0.128066 0.695034 -0.841421 0.442415 0.315593 -0.233873 0.441627 -0.642113 0.172136 0.097029 -0.060587 -0.196081 2.357161 0.073502 0.114632 0.094368 -0.395592 2.162388 0.134626
2.366667 0.138181 0.135005 0.676775 -0.822674 0.436694 0.323787 -0.236644 0.411221 -0.601856 0.159981 0.093490 -0.055829 -0.200036 2.359490 0.084356 0.110190 0.091310 -0.393930 2.157812 0.137416
2.400000 0.134331 0.132939 0.688186 -0.838231 0.439644 0.324833 -0.235427 0.429653 -0.627244 0.168669 0.096397 -0.058466 -0.199287 2.359296 0.085181 0.110275 0.092947 -0.395135 2.157084 0.138137
2.433333 0.131976 0.132457 0.688677 -0.837439 0.439289 0.325619 -0.234665 0.430893 -0.627170 0.167242 0.097563 -0.057594 -0.200973 2.358993 0.082378 0.110158 0.092139 -0.396007 2.161885 0.139336
2.466667 0.132194 0.135126 0.671806 -0.813274 0.431835 0.327027 -0.235411 0.405283 -0.587489 0.152630 0.094996 -0.051957 -0.206826 2.358087 0.090225 0.111178 0.094030 -0.404327 2.160536 0.140445
2.500000 0.130531 0.131015 0.685780 -0.828079 0.434313 0.328979 -0.233787 0.427630 -0.616266 0.160929 0.099146 -0.055883 -0.206425 2.358819 0.092044 0.115900 0.095682 -0.406351 2.162611 0.141546
2.533333 0.126951 0.130138 0.686193 -0.829411 0.434479 0.332320 -0.233164 0.428559 -0.618487 0.164024 0.099352 -0.062500 -0.203602 2.357397 0.085427 0.115146 0.097345 -0.404996 2.163133 0.141359
2.566667 0.126793 0.128231 0.684864 -0.828528 0.435844 0.333756 -0.231170 0.428330 -0.618004 0.162859 0.098820 -0.066710 -0.199892 2.357553 0.080669 0.116637 0.099588 -0.406392 2.160817 0.135051
2.600000 0.126454 0.127234 0.688766 -0.830542 0.435782 0.336742 -0.231837 0.431886 -0.621896 0.166645 0.100049 -0.065660 -0.203448 2.356509 0.082345 0.119962 0.102376 -0.408534 2.162668 0.144829
2.633333 0.123530 0.130964 0.673935 -0.809046 0.427986 0.340798 -0.233202 0.408049 -0.584239 0.148512 0.099255 -0.061211 -0.214150 2.356186 0.081939 0.128428 0.111014 -0.431559 2.167803 0.166980
2.666667 0.120056 0.127874 0.686846 -0.829040 0.436731 0.342772 -0.231633 0.429788 -0.619060 0.164252 0.099013 -0.066124 -0.207148 2.354090 0.076100 0.121058 0.100722 -0.401799 2.166838 0.136805
2.700000 0.120445 0.126276 0.692165 -0.833407 0.435053 0.342950 -0.230429 0.437720 -0.629263 0.166665 0.100633 -0.062640 -0.208482 2.353126 0.079786 0.122032 0.100704 -0.405186 2.166088 0.141026
2.733333 0.118913 0.125380 0.693433 -0.835118 0.434872 0.344603 -0.229900 0.439836 -0.633143 0.168547 0.099829 -0.063542 -0.206484 2.352392 0.079273 0.119167 0.100772 -0.405610 2.163089 0.144027
2.766667 0.119731 0.128504 0.677332 -0.808771 0.425225 0.348489 -0.231593 0.414216 -0.592702 0.151022 0.098977 -0.057407 -0.218391 2.355005 0.082351 0.129138 0.115805 -0.442774 2.174487 0.171663
2.800000 0.110288 0.128403 0.684560 -0.826967 0.439110 0.349095 -0.230489 0.431803 -0.622355 0.165440 0.098200 -0.064661 -0.206204 2.355313 0.077394 0.118829 0.098518 -0.411131 2.171446 0.159550
2.833333 0.110301 0.126887 0.689476 -0.831461 0.439010 0.350204 -0.230054 0.437972 -0.630476 0.167925 0.098850 -0.067232 -0.202850 2.358268 0.077282 0.117632 0.098112 -0.412428 2.171739 0.160766
2.866667 0.109233 0.125989 0.692036 -0.832482 0.435939 0.352547 -0.229850 0.440697 -0.633299 0.169274 0.099886 -0.070507 -0.201317 2.358472 0.073335 0.117911 0.098299 -0.416251 2.175674 0.180715
2.900000 0.106886 0.126005 0.693129 -0.833929 0.437690 0.354572 -0.230411 0.443833 -0.637519 0.170215 0.100939 -0.070271 -0.200757 2.358426 0.073215 0.119037 0.101231 -0.415434 2.172457 0.161303
2.933333 0.105186 0.128072 0.692314 -0.832433 0.438299 0.355958 -0.231574 0.440614 -0.633471 0.168607 0.101601 -0.076354 -0.205363 2.357787 0.069831 0.120109 0.104504 -0.423509 2.171869 0.152300
2.966667 0.106001 0.127772 0.693346 -0.833513 0.438984 0.357474 -0.231696 0.441196 -0.635728 0.171467 0.100614 -0.080856 -0.200132 2.356061 0.066362 0.119548 0.102144 -0.416395 2.170658 0.146372
3.000000 0.108508 0.126953 0.690959 -0.831701 0.438336 0.358850 -0.230514 0.438419 -0.634672 0.168911 0.099345 -0.079161 -0.200921 2.357774 0.071434 0.118961 0.104764 -0.418125 2.172825 0.161461
3.033333 0.106982 0.128220 0.688863 -0.829877 0.439009 0.359705 -0.231063 0.434139 -0.629434 0.167628 0.098461 -0.082591 -0.196559 2.358115 0.066497 0.119030 0.104220 -0.415114 2.171234 0.145421
3.066667 0.105424 0.128966 0.687136 -0.826903 0.441252 0.360324 -0.231762 0.433393 -0.626566 0.165855 0.099140 -0.077566 -0.199346 2.358899 0.074152 0.122724 0.104454 -0.412693 2.169405 0.142082
3.100000 0.109128 0.128578 0.684365 -0.825404 0.442599 0.364922 -0.231994 0.428553 -0.625479 0.167124 0.096220 -0.083072 -0.191400 2.359842 0.063268 0.121510 0.106389 -0.412424 2.171732 0.143698
3.133333 0.103190 0.132231 0.683092 -0.827065 0.447681 0.362779 -0.233418 0.428157 -0.623662 0.166881 0.096219 -0.083169 -0.190515 2.361056 0.061994 0.122700 0.105745 -0.416128 2.176023 0.155099
3.166667 0.111690 0.128543 0.683693 -0.824932 0.444400 0.364215 -0.232204 0.428488 -0.626363 0.165588 0.096785 -0.078668 -0.194139 2.361630 0.070765 0.132142 0.120677 -0.419900 2.178656 0.160745
3.200000 0.111580 0.129678 0.680247 -0.822510 0.445253 0.361521 -0.232106 0.423876 -0.621135 0.165063 0.095423 -0.078733 -0.193358 2.359446 0.073261 0.133474 0.124553 -0.417722 2.173688 0.151202
3.233333 0.107426 0.131304 0.679634 -0.823854 0.446159 0.360556 -0.232708 0.423290 -0.618302 0.164624 0.098836 -0.064733 -0.204055 2.363176 0.090779 0.135820 0.126199 -0.420129 2.176504 0.156693
3.266667 0.107997 0.136179 0.661855 -0.801402 0.441022 0.362488 -0.235078 0.394514 -0.577916 0.148086 0.094854 -0.069999 -0.205612 2.362455 0.081815 0.124992 0.109263 -0.416234 2.173463 0.151001
3.300000 0.108817 0.135398 0.672708 -0.817667 0.447173 0.357611 -0.234930 0.410780 -0.602453 0.161137 0.098724 -0.063897 -0.207025 2.364451 0.089315 0.123971 0.106331 -0.413514 2.175374 0.160430
3.333333 0.110932 0.139099 0.658828 -0.798984 0.445310 0.356016 -0.236704 0.388698 -0.567974 0.145746 0.096767 -0.069011 -0.203646 2.366208 0.083803 0.123868 0.105921 -0.417415 2.173886 0.150989
3.366667 0.114470 0.136154 0.667835 -0.812654 0.452229 0.355950 -0.235754 0.403839 -0.593574 0.157369 0.098774 -0.065432 -0.207125 2.366738 0.084139 0.119490 0.100136 -0.413501 2.180561 0.193007
3.400000 0.115663 0.140742 0.654485 -0.795053 0.447084 0.351091 -0.237377 0.382155 -0.561197 0.145058 0.098829 -0.053896 -0.208435 2.368923 0.097641 0.119283 0.099143 -0.414053 2.181742 0.199178
3.433333 0.121817 0.137148 0.662612 -0.807242 0.452451 0.351767 -0.235248 0.395098 -0.585043 0.154572 0.097975 -0.069741 -0.204344 2.370105 0.085139 0.123965 0.115183 -0.428508 2.183540 0.169796
3.466667 0.121027 0.140656 0.650282 -0.792492 0.448915 0.349883 -0.236402 0.375898 -0.556367 0.143942 0.096101 -0.066004 -0.202581 2.371901 0.088919 0.120793 0.108443 -0.418293 2.185528 0.173108
3.500000 0.121079 0.139285 0.659505 -0.806906 0.455652 0.345292 -0.235371 0.391141 -0.579037 0.156502 0.097697 -0.065442 -0.203663 2.372322 0.091428 0.124359 0.112690 -0.418625 2.185994 0.156865
3.533333 0.126009 0.135971 0.665720 -0.814215 0.458184 0.346738 -0.234501 0.402039 -0.596788 0.159687 0.096957 -0.071724 -0.199715 2.370474 0.093231 0.121084 0.103050 -0.401061 2.181574 0.142712
3.566667 0.126085 0.140637 0.644184 -0.784980 0.448556 0.345107 -0.236225 0.366884 -0.542897 0.143190 0.096425 -0.062483 -0.218798 2.374076 0.106914 0.137351 0.125670 -0.453762 2.179826 0.191869
3.600000 0.127400 0.140915 0.642489 -0.783600 0.447942 0.347457 -0.236395 0.364768 -0.542317 0.141055 0.095527 -0.058208 -0.215392 2.371137 0.103992 0.129351 0.117457 -0.437528 2.187075 0.170852
3.633333 0.127100 0.139041 0.657135 -0.802043 0.453043 0.343874 -0.235820 0.387340 -0.574857 0.153923 0.097216 -0.062712 -0.212000 2.369956 0.102496 0.127111 0.113126 -0.426590 2.186527 0.161222
3.666667 0.126939 0.140430 0.646855 -0.786782 0.446212 0.347998 -0.236610 0.371108 -0.550498 0.142552 0.095565 -0.063015 -0.214884 2.371311 0.104350 0.126222 0.114630 -0.431222 2.189245 0.164766
3.700000 0.127749 0.141188 0.641517 -0.780915 0.445062 0.343130 -0.235771 0.361551 -0.535281 0.140756 0.093313 -0.063890 -0.217311 2.370240 0.107220 0.124729 0.112399 -0.433516 2.188746 0.168487
3.733333 0.128609 0.139909 0.642940 -0.776930 0.441988 0.339759 -0.236099 0.361822 -0.529811 0.141837 0.095788 -0.057008 -0.224506 2.369789 0.122283 0.126885 0.110930 -0.431195 2.187716 0.169314
3.766667 0.126992 0.139479 0.643721 -0.777256 0.442113 0.345525 -0.236933 0.363874 -0.532345 0.138584 0.096646 -0.057732 -0.226323 2.368965 0.122752 0.128747 0.112841 -0.435623 2.187616 0.174182
3.800000 0.127385 0.135466 0.653272 -0.788843 0.444180 0.348471 -0.235125 0.383192 -0.561154 0.145886 0.100015 -0.062561 -0.222984 2.367433 0.118818 0.130440 0.114622 -0.437142 2.188634 0.175638
3.833333 0.126838 0.134141 0.666581 -0.808864 0.452427 0.344087 -0.234584 0.402994 -0.591863 0.159061 0.098162 -0.070807 -0.208194 2.363946 0.109211 0.121720 0.092821 -0.399105 2.179984 0.149485
3.866667 0.123902 0.136763 0.656332 -0.793696 0.448459 0.346768 -0.235924 0.387042 -0.564619 0.146489 0.098764 -0.071687 -0.215836 2.364667 0.112900 0.127189 0.100801 -0.416679 2.183721 0.149863
3.900000 0.128599 0.132033 0.669289 -0.809278 0.452180 0.340232 -0.233380 0.406828 -0.593783 0.162018 0.100834 -0.069203 -0.213138 2.361978 0.117869 0.125773 0.092008 -0.399681 2.178252 0.142429
3.933333 0.125551 0.131072 0.674496 -0.818903 0.457000 0.345544 -0.234344 0.416624 -0.609775 0.167737 0.102198 -0.074713 -0.213358 2.360420 0.117417 0.127221 0.093860 -0.399028 2.177930 0.139935
3.966667 0.126024 0.133398 0.663687 -0.801461 0.450148 0.340524 -0.234874 0.400316 -0.580417 0.153794 0.100108 -0.070014 -0.217074 2.355972 0.130073 0.128927 0.091999 -0.395943 2.176645 0.138324
4.000000 0.133148 0.127001 0.679410 -0.818654 0.455552 0.339205 -0.233830 0.423571 -0.614433 0.167573 0.101005 -0.075363 -0.222028 2.350463 0.144422 0.129730 0.093908 -0.395125 2.177161 0.136961
4.033333 0.132217 0.130110 0.669832 -0.803916 0.448189 0.330901 -0.235327 0.411606 -0.590798 0.155426 0.101077 -0.084841 -0.213708 2.345535 0.134952 0.130777 0.090422 -0.389078 2.177354 0.129401
4.066667 0.135846 0.131035 0.670618 -0.798607 0.439869 0.324637 -0.238397 0.407597 -0.580965 0.154740 0.105180 -0.074901 -0.219048 2.342936 0.126133 0.140257 0.093956 -0.387189 2.176058 0.124970
4.100000 0.142852 0.126492 0.683441 -0.816639 0.438303 0.321644 -0.237558 0.423699 -0.609728 0.167770 0.118459 -0.067977 -0.217779 2.344611 0.123185 0.155201 0.104340 -0.385031 2.180620 0.130737
4.133333 0.147973 0.129388 0.671448 -0.797914 0.426699 0.313792 -0.239284 0.401668 -0.575470 0.154702 0.143661 -0.044202 -0.214187 2.357813 0.148518 0.190647 0.124767 -0.382492 2.181810 0.131135
